2021-06-29 11:06:748 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (2157e0a7ebfaf4b4234014f449e68276)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:851 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (2157e0a7ebfaf4b4234014f449e68276)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:950 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (2157e0a7ebfaf4b4234014f449e68276)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:109 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:358 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (9fb6241e9d8de506d43f820577351ae1)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:488 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (9fb6241e9d8de506d43f820577351ae1)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:631 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (9fb6241e9d8de506d43f820577351ae1)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:706 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (9fb6241e9d8de506d43f820577351ae1)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:827 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 11:06:489 INFO  LoginPage :38 - click on Login link [[ChromeDriver: chrome on WINDOWS (5d602e99cebe87aded180b642edb31ed)] -> xpath: //a[@class ='ico-login']]
2021-06-29 11:06:619 INFO  LoginPage :44 - Enter Email [[ChromeDriver: chrome on WINDOWS (5d602e99cebe87aded180b642edb31ed)] -> xpath: //input[@id='Email']]
2021-06-29 11:06:781 INFO  LoginPage :49 - Enter Password [[ChromeDriver: chrome on WINDOWS (5d602e99cebe87aded180b642edb31ed)] -> xpath: //input[@id='Password']]
2021-06-29 11:06:855 INFO  LoginPage :54 - click on Login Button [[ChromeDriver: chrome on WINDOWS (5d602e99cebe87aded180b642edb31ed)] -> xpath: //button[@class ='button-1 login-button']]
2021-06-29 11:06:388 INFO  BasePage :33 - Launching Chrome Browser 
